Segment,Q1.a,Q4.a.3,Q4.a.4,Q4.a.5,Q4.a.6,Q4.a.10,Q4.a.17,Q8.a.1,Q8.a.2,Q8.a.6,Q8.a.8,Q9.a.2,Q9.a.3,Q9.a.4,Q9.a.5,Q9.a.6,Q9.a.8,Q23.a,Q24.a.1
4,1.570218317,1.570218317,1.570218317,1.570218317,2.355327475,1.570218317,2.355327475,3.925545792,1.570218317,3.925545792,1.570218317,2.355327475,1.570218317,2.355327475,1.570218317,0.785109158,1.570218317,0.785109158,2.355327475
5,2.26637827,3.399567405,2.26637827,1.133189135,3.399567405,3.399567405,1.133189135,1.133189135,5.665945676,2.26637827,3.399567405,2.26637827,1.133189135,2.26637827,1.133189135,2.26637827,2.26637827,4.532756541,2.26637827
2,3.278096297,0.819524074,0.819524074,0.819524074,1.639048149,1.639048149,1.639048149,3.278096297,2.458572223,3.278096297,2.458572223,0.819524074,1.639048149,1.639048149,1.639048149,1.639048149,1.639048149,0.819524074,2.458572223
4,2.849705768,0.949901923,0.949901923,1.899803845,2.849705768,1.899803845,2.849705768,4.749509613,0.949901923,0.949901923,0.949901923,1.899803845,1.899803845,1.899803845,1.899803845,1.899803845,1.899803845,0.949901923,2.849705768
1,1.487599031,1.487599031,1.487599031,2.231398546,2.975198062,0.743799515,1.487599031,3.718997577,0.743799515,3.718997577,0.743799515,0.743799515,1.487599031,0.743799515,1.487599031,0.743799515,1.487599031,0.743799515,1.487599031
3,1.762022155,1.762022155,1.762022155,2.643033232,2.643033232,1.762022155,2.643033232,0.881011077,0.881011077,4.405055387,0.881011077,1.762022155,1.762022155,1.762022155,1.762022155,1.762022155,1.762022155,0.881011077,2.643033232
5,3.002647999,1.000882666,1.000882666,3.002647999,1.000882666,1.000882666,1.000882666,5.004413332,5.004413332,5.004413332,5.004413332,1.000882666,1.000882666,1.000882666,1.000882666,1.000882666,1.000882666,1.000882666,1.000882666
5,0.901947608,0.601298405,0.300649203,0.601298405,1.20259681,1.20259681,0.901947608,0.300649203,0.300649203,0.300649203,0.601298405,0.300649203,0.901947608,0.601298405,0.601298405,0.901947608,0.601298405,0.300649203,0.901947608
4,2.677327172,1.338663586,1.338663586,1.338663586,4.015990758,2.677327172,5.354654344,1.338663586,6.69331793,1.338663586,1.338663586,1.338663586,1.338663586,1.338663586,2.677327172,2.677327172,1.338663586,1.338663586,1.338663586
5,1.384128783,2.768257566,1.384128783,1.384128783,4.152386348,1.384128783,4.152386348,1.384128783,5.536515131,1.384128783,1.384128783,1.384128783,1.384128783,1.384128783,1.384128783,1.384128783,2.768257566,1.384128783,5.536515131
5,3.605881311,1.201960437,1.201960437,1.201960437,3.605881311,1.201960437,1.201960437,6.009802185,2.403920874,6.009802185,3.605881311,1.201960437,2.403920874,2.403920874,2.403920874,2.403920874,1.201960437,1.201960437,3.605881311
5,1.250818331,0.625409166,0.625409166,0.625409166,1.250818331,1.250818331,1.876227497,2.501636662,2.501636662,0.625409166,0.625409166,0.625409166,0.625409166,0.625409166,1.250818331,0.625409166,0.625409166,0.625409166,1.250818331
5,2.419283364,1.209641682,2.419283364,2.419283364,4.838566728,2.419283364,4.838566728,4.838566728,2.419283364,4.838566728,1.209641682,2.419283364,2.419283364,2.419283364,2.419283364,2.419283364,2.419283364,1.209641682,3.628925046
2,1.289636874,0.644818437,0.644818437,0.644818437,1.289636874,0.644818437,1.289636874,3.224092186,1.934455312,1.289636874,1.289636874,0.644818437,1.289636874,1.289636874,1.289636874,1.289636874,0.644818437,0.644818437,0.644818437
4,5.25578314,1.751927713,1.751927713,3.503855427,7.007710853,1.751927713,3.503855427,1.751927713,8.759638567,1.751927713,8.759638567,3.503855427,1.751927713,1.751927713,5.25578314,1.751927713,3.503855427,1.751927713,3.503855427
5,4.357693421,4.357693421,4.357693421,4.357693421,7.262822368,4.357693421,7.262822368,1.452564474,4.357693421,1.452564474,1.452564474,4.357693421,2.905128947,2.905128947,2.905128947,4.357693421,2.905128947,1.452564474,2.905128947
5,2.396609554,2.396609554,2.396609554,2.396609554,1.198304777,3.594914331,2.396609554,3.594914331,3.594914331,4.793219108,4.793219108,1.198304777,1.198304777,1.198304777,1.198304777,1.198304777,1.198304777,1.198304777,2.396609554
4,1.899803845,1.899803845,0.949901923,1.899803845,4.749509613,1.899803845,2.849705768,3.799607691,1.899803845,4.749509613,1.899803845,1.899803845,1.899803845,0.949901923,1.899803845,1.899803845,1.899803845,0.949901923,1.899803845
3,1.637390955,0.818695477,0.818695477,0.818695477,4.093477387,0.818695477,4.093477387,0.818695477,0.818695477,4.093477387,0.818695477,0.818695477,0.818695477,0.818695477,0.818695477,0.818695477,0.818695477,0.818695477,0.818695477
5,3.760140927,0.940035232,0.940035232,2.820105696,3.760140927,2.820105696,3.760140927,4.700176159,4.700176159,4.700176159,0.940035232,2.820105696,0.940035232,0.940035232,2.820105696,0.940035232,0.940035232,0.940035232,1.880070464
5,5.328171851,1.776057284,1.776057284,3.552114567,2.664085926,2.664085926,3.552114567,3.552114567,2.664085926,1.776057284,1.776057284,1.776057284,0.888028642,1.776057284,1.776057284,0.888028642,0.888028642,0.888028642,0.888028642
5,3.735995623,3.735995623,3.735995623,5.603993434,5.603993434,3.735995623,3.735995623,9.339989057,1.867997811,7.471991246,3.735995623,1.867997811,3.735995623,3.735995623,3.735995623,3.735995623,1.867997811,1.867997811,1.867997811
5,5.156054623,2.578027312,1.289013656,2.578027312,2.578027312,2.578027312,2.578027312,1.289013656,6.445068279,6.445068279,2.578027312,3.867040968,1.289013656,1.289013656,1.289013656,1.289013656,1.289013656,1.289013656,3.867040968
4,1.977597556,1.977597556,0.988798778,0.988798778,3.955195112,0.988798778,4.94399389,4.94399389,1.977597556,4.94399389,0.988798778,1.977597556,1.977597556,1.977597556,1.977597556,1.977597556,1.977597556,0.988798778,4.94399389
2,1.173780585,1.173780585,0.586890293,0.586890293,0.586890293,1.173780585,2.934451463,0.586890293,2.934451463,1.173780585,0.586890293,0.586890293,0.586890293,0.586890293,1.173780585,0.586890293,0.586890293,0.586890293,1.760670878
5,1.236853516,2.473707033,1.236853516,2.473707033,3.710560549,1.236853516,2.473707033,1.236853516,2.473707033,2.473707033,2.473707033,3.710560549,2.473707033,1.236853516,2.473707033,1.236853516,1.236853516,1.236853516,3.710560549
4,2.456086432,0.818695477,1.637390955,0.818695477,4.093477387,0.818695477,1.637390955,4.093477387,0.818695477,4.093477387,0.818695477,0.818695477,1.637390955,1.637390955,1.637390955,0.818695477,2.456086432,0.818695477,1.637390955
1,1.498967985,0.749483992,0.749483992,1.498967985,1.498967985,0.749483992,1.498967985,0.749483992,0.749483992,3.747419961,3.747419961,1.498967985,0.749483992,0.749483992,2.248451977,0.749483992,2.248451977,0.749483992,3.747419961
5,2.522778301,1.26138915,1.26138915,1.26138915,5.045556601,1.26138915,3.784167451,6.306945752,5.045556601,5.045556601,1.26138915,3.784167451,2.522778301,2.522778301,2.522778301,2.522778301,2.522778301,1.26138915,1.26138915
5,2.094350519,3.141525778,3.141525778,3.141525778,1.047175259,3.141525778,3.141525778,4.188701037,5.235876297,4.188701037,3.141525778,1.047175259,2.094350519,2.094350519,3.141525778,3.141525778,2.094350519,1.047175259,2.094350519
5,1.082882365,1.082882365,1.082882365,1.082882365,1.082882365,1.082882365,1.082882365,1.082882365,1.082882365,3.248647094,2.165764729,2.165764729,1.082882365,2.165764729,2.165764729,1.082882365,1.082882365,1.082882365,1.082882365
5,0.988798778,0.988798778,0.988798778,1.977597556,2.966396334,0.988798778,2.966396334,3.955195112,3.955195112,0.988798778,3.955195112,0.988798778,0.988798778,0.988798778,0.988798778,0.988798778,0.988798778,0.988798778,1.977597556
3,2.382170624,2.382170624,2.382170624,2.382170624,2.382170624,2.382170624,2.382170624,1.58811375,3.176227499,0.794056875,1.58811375,1.58811375,1.58811375,1.58811375,1.58811375,1.58811375,1.58811375,0.794056875,0.794056875
4,2.785948384,1.392974192,1.392974192,2.785948384,4.178922577,2.785948384,4.178922577,2.785948384,5.571896769,2.785948384,2.785948384,2.785948384,2.785948384,4.178922577,2.785948384,1.392974192,2.785948384,1.392974192,1.392974192
4,3.29904529,0.824761323,0.824761323,0.824761323,3.29904529,1.649522645,4.123806613,2.474283968,4.123806613,1.649522645,2.474283968,0.824761323,1.649522645,0.824761323,0.824761323,0.824761323,1.649522645,0.824761323,1.649522645
4,2.768257566,2.768257566,1.384128783,1.384128783,5.536515131,1.384128783,2.768257566,4.152386348,1.384128783,5.536515131,5.536515131,2.768257566,1.384128783,1.384128783,2.768257566,1.384128783,2.768257566,1.384128783,5.536515131
5,2.045235376,1.022617688,1.022617688,2.045235376,3.067853064,1.022617688,3.067853064,5.11308844,3.067853064,5.11308844,4.090470752,1.022617688,1.022617688,1.022617688,1.022617688,1.022617688,1.022617688,1.022617688,4.090470752
5,6.344784145,4.229856097,6.344784145,8.459712194,4.229856097,4.229856097,8.459712194,8.459712194,8.459712194,4.229856097,4.229856097,2.114928048,2.114928048,4.229856097,2.114928048,4.229856097,4.229856097,2.114928048,6.344784145
4,4.49239495,1.79695798,0.89847899,0.89847899,3.59391596,1.79695798,2.69543697,4.49239495,2.69543697,4.49239495,0.89847899,1.79695798,1.79695798,1.79695798,1.79695798,1.79695798,1.79695798,0.89847899,1.79695798
3,4.178922577,1.392974192,1.392974192,1.392974192,5.571896769,1.392974192,6.964870961,5.571896769,6.964870961,4.178922577,5.571896769,2.785948384,2.785948384,2.785948384,2.785948384,1.392974192,2.785948384,1.392974192,1.392974192
1,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318,1.435928318
1,1.934239628,0.644746543,1.934239628,1.289493085,3.223732714,1.289493085,3.223732714,1.934239628,1.934239628,1.934239628,1.934239628,1.934239628,1.289493085,1.934239628,1.934239628,1.289493085,1.289493085,0.644746543,3.223732714
5,4.238342538,1.412780846,1.412780846,2.825561692,5.651123384,1.412780846,2.825561692,1.412780846,7.063904229,1.412780846,1.412780846,2.825561692,2.825561692,2.825561692,1.412780846,2.825561692,2.825561692,1.412780846,4.238342538
5,0.767883768,0.383941884,0.383941884,0.383941884,0.383941884,0.383941884,0.767883768,1.91970942,0.383941884,1.91970942,0.383941884,0.767883768,0.767883768,0.767883768,0.767883768,0.767883768,0.767883768,0.383941884,1.151825652
5,1.977597556,0.988798778,0.988798778,2.966396334,3.955195112,3.955195112,2.966396334,1.977597556,2.966396334,0.988798778,0.988798778,1.977597556,1.977597556,1.977597556,1.977597556,1.977597556,1.977597556,0.988798778,1.977597556
